区,30-50㎡平均,50-70㎡平均,差額,差率(%),30-50㎡件数,50-70㎡件数
大阪市此花区,80.0,41.506001461225345,38.493998538774655,92.7432110624665,1,67
大阪市鶴見区,80.64814814814815,46.95761029094363,33.690537857204525,71.74670441801034,3,81
大阪市東淀川区,70.01623376623375,43.178645428645424,26.83758833758833,62.15477134857925,22,72
大阪市東成区,71.55388471177945,48.481500317863954,23.072384393915492,47.59007919029688,19,110
大阪市城東区,74.27083333333333,51.22262761393196,23.048205719401366,44.99614094988856,16,207
大阪市旭区,68.27380952380952,46.174963454624475,22.098846069185043,47.858935699865334,8,59
大阪市浪速区,78.45679012345678,63.14647607294666,15.310314050510122,24.245714096260386,108,68
大阪市淀川区,62.3368462138954,48.5798902698466,13.756955944048798,28.31821123438745,61,229
大阪市都島区,66.08044733044734,52.52133255633256,13.559114774114782,25.81639519441314,22,120
大阪市大正区,53.08730158730159,45.569308469308474,7.5179931179931145,16.49793110873425,6,30
大阪市西区,77.97865876813246,71.49870414673046,6.479954621402001,9.063037853250828,209,304
大阪市阿倍野区,65.88564213564213,62.1847446956936,3.700897439948527,5.951455550809426,22,137
大阪市中央区,79.68582795437015,76.25103486506995,3.4347930893002,4.504585538253008,391,513
大阪市北区,80.12862616310893,77.80217898043983,2.3264471826690993,2.9902082604318694,203,460
大阪市西淀川区,43.4212962962963,41.182292633620065,2.2390036626762324,5.436811599090947,12,113
大阪市天王寺区,64.1156462585034,64.67892549217851,-0.5632792336751038,-0.8708852680974424,49,166
大阪市平野区,32.476851851851855,34.75253561253562,-2.275683760683762,-6.548252438486527,6,90
大阪市港区,51.201814058956906,55.48873348873348,-4.2869194297765745,-7.725747481057568,14,66
大阪市福島区,66.13656783468105,72.11838161838162,-5.981813783700574,-8.294437076186306,53,168
大阪市東住吉区,38.13247863247864,44.27550736725048,-6.143028734771846,-13.874552997930623,13,109
大阪市西成区,22.22222222222222,36.79692856163444,-14.574706339412216,-39.60848611318129,2,34
